"protein","organism","source","abbrv","chains","Ala","Cys","Asp","Glu","Phe","Gly","His","Ile","Lys","Leu","Met","Asn","Pro","Gln","Arg","Ser","Thr","Val","Trp","Tyr"
"1433B","HUMAN",NA,"P31946",1,21,2,14,30,6,10,2,10,20,24,8,14,5,15,10,19,12,11,2,11
"1433E","HUMAN",NA,"P62258",1,25,3,22,29,5,10,3,13,18,27,10,11,5,9,14,14,10,13,2,12
"1433F","HUMAN",NA,"Q04917",1,24,3,17,28,7,8,1,9,20,27,7,14,4,13,12,17,8,13,2,12
"1433G","HUMAN",NA,"P61981",1,23,3,17,28,3,8,4,10,17,24,7,14,4,12,13,18,11,15,2,14
"1433S","HUMAN",NA,"P31947",1,26,2,15,33,5,15,3,10,17,24,8,8,7,9,13,19,10,12,2,10
"1433T","HUMAN",NA,"P27348",1,24,5,18,26,6,9,1,12,19,27,6,12,4,10,11,16,16,10,2,11
"1433Z","HUMAN",NA,"P63104",1,25,3,15,30,6,11,1,10,20,24,7,10,4,14,11,19,10,12,2,11
"1A01","HUMAN",NA,"P30443",1,35,5,24,22,8,30,10,13,12,28,9,5,17,21,29,23,28,22,10,14
"1A02","HUMAN",NA,"P01892",1,38,5,21,22,9,28,13,9,13,26,8,2,15,21,27,26,29,26,12,15
"1A03","HUMAN",NA,"P04439",1,36,5,24,23,8,29,9,13,11,29,8,4,16,22,28,24,29,22,11,14
"1A11","HUMAN",NA,"P13746",1,36,5,24,23,7,29,9,13,11,28,8,4,17,23,29,23,28,22,11,15
"1A1L1","HUMAN",NA,"Q96QU6",1,28,10,27,37,24,34,12,13,21,63,13,11,25,24,36,38,20,35,9,21
"1A1L2","HUMAN",NA,"Q4AC99",1,31,17,30,42,26,28,17,28,26,75,13,20,26,26,37,40,26,31,5,24
"1A23","HUMAN",NA,"P30447",1,37,5,22,24,8,29,11,11,11,28,9,4,16,21,28,26,27,24,10,14
"1A24","HUMAN",NA,"P05534",1,37,5,22,24,8,29,11,11,12,27,9,4,17,21,27,26,27,24,10,14
"1A25","HUMAN",NA,"P18462",1,37,5,23,23,8,26,10,12,10,25,9,5,16,23,31,27,26,22,12,15
"1A26","HUMAN",NA,"P30450",1,37,5,23,22,8,28,10,11,10,25,9,6,16,23,30,26,27,22,12,15
"1A29","HUMAN",NA,"P30512",1,39,5,21,21,9,28,9,10,10,29,9,5,15,24,30,26,28,22,11,14
"1A30","HUMAN",NA,"P16188",1,36,5,22,24,7,28,10,13,10,29,8,4,16,22,28,26,29,22,12,14
"1A31","HUMAN",NA,"P16189",1,37,5,23,22,9,27,9,11,10,28,9,4,16,24,30,26,27,23,11,14
"1A32","HUMAN",NA,"P10314",1,39,5,22,23,9,26,9,11,10,29,10,4,16,24,30,26,26,21,11,14
"1A33","HUMAN",NA,"P16190",1,37,5,23,21,9,28,10,11,10,28,9,5,16,23,30,26,27,23,11,13
"1A34","HUMAN",NA,"P30453",1,36,5,24,22,8,28,9,11,11,26,9,4,16,24,29,26,28,22,12,15
"1A36","HUMAN",NA,"P30455",1,35,5,23,23,8,29,10,13,12,28,9,5,17,21,28,23,29,22,11,14
"1A43","HUMAN",NA,"P30456",1,37,5,23,22,8,28,10,11,10,26,9,5,16,24,29,26,27,22,12,15
"1A66","HUMAN",NA,"P30457",1,36,5,24,22,8,28,9,11,10,25,9,5,16,24,30,26,27,23,12,15
"1A68","HUMAN",NA,"P01891",1,37,5,23,21,8,28,10,10,12,25,9,4,15,22,28,26,29,26,12,15
"1A69","HUMAN",NA,"P10316",1,38,5,22,21,8,27,11,9,12,26,8,4,15,22,28,26,29,26,12,16
"1A74","HUMAN",NA,"P30459",1,38,5,23,22,9,28,9,10,10,29,10,4,16,24,30,25,27,22,10,14
"1A80","HUMAN",NA,"Q09160",1,36,5,22,25,8,28,9,13,13,28,8,6,18,20,28,27,25,22,10,14
"1B07","HUMAN",NA,"P01889",1,38,6,22,27,6,27,9,10,10,28,5,5,18,20,30,26,24,25,10,16
"1B08","HUMAN",NA,"P30460",1,37,6,23,25,7,27,9,10,9,28,6,7,18,19,29,25,28,25,10,14
"1B13","HUMAN",NA,"P30461",1,37,6,19,25,6,27,9,10,9,30,6,6,18,20,28,23,32,24,12,15
"1B14","HUMAN",NA,"P30462",1,36,6,20,26,7,27,9,10,9,29,5,7,18,20,28,27,28,25,11,14
"1B15","HUMAN",NA,"P30464",1,37,5,20,25,6,28,9,11,9,28,6,5,18,20,30,27,29,23,11,15
"1B18","HUMAN",NA,"P30466",1,34,5,19,24,6,29,11,11,9,28,4,6,18,20,30,28,31,25,11,13
"1B27","HUMAN",NA,"P03989",1,37,7,22,27,6,27,10,10,10,30,4,4,18,19,29,23,28,26,11,14
"1B35","HUMAN",NA,"P30685",1,36,5,20,24,7,28,9,12,9,28,5,6,18,20,30,25,29,25,11,15
"1B37","HUMAN",NA,"P18463",1,34,5,21,25,7,27,9,12,9,27,4,5,18,20,30,27,32,25,11,14
"1B38","HUMAN",NA,"Q95365",1,36,6,19,25,7,26,9,11,9,29,5,7,18,20,29,26,29,26,10,15
"1B39","HUMAN",NA,"P30475",1,35,6,20,25,7,27,9,10,9,29,5,7,18,20,29,27,29,26,10,14
"1B40","HUMAN",NA,"Q04826",1,34,6,19,26,6,28,10,10,10,29,4,6,18,19,30,25,30,26,11,15
"1B41","HUMAN",NA,"P30479",1,36,6,21,25,6,27,10,10,10,27,5,6,18,18,31,24,31,25,11,15
